date,ticker,tier,mini,small,base,consensus,action,avg_pct,horizon,target_date,entry,tp,sl,filter
2026-05-11,HON,A,DOWN,UP,UP,MIXED,SKIP,-2.64,60.0,2026-07-31,213.12,0.15,0.1,
2026-05-11,ITW,A,UP,UP,UP,AGREE UP,HOLD,1.64,60.0,2026-07-31,254.76,0.2,0.1,
2026-05-11,NCLH,A,UP,UP,UP,AGREE UP,HOLD,30.63,60.0,2026-07-31,17.08,0.25,0.1,
2026-05-11,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-18.44,60.0,2026-07-31,10.11,0.3,0.1,SHORT DISABLED
2026-05-11,WK,A,UP,UP,UP,AGREE UP,HOLD,57.49,60.0,2026-07-31,51.29,0.25,0.1,
2026-05-11,AAL,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-15.04,60.0,2026-07-31,13.35,0.3,0.1,SHORT DISABLED
2026-05-12,RIVN,A,UP,UP,UP,AGREE UP,HOLD,13.74,40.0,2026-07-06,14.08,0.15,0.02,
2026-05-12,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-55.02,60.0,2026-08-03,4.29,0.25,0.02,SHORT DISABLED
2026-05-12,PATH,A,UP,UP,UP,AGREE UP,HOLD,20.3,60.0,2026-08-03,10.66,0.2,0.1,
2026-05-12,HON,A,DOWN,UP,DOWN,MIXED,SKIP,-3.21,60.0,2026-08-03,219.11,0.15,0.1,
2026-05-12,ITW,A,DOWN,UP,UP,MIXED,SKIP,2.42,60.0,2026-08-03,252.09,0.2,0.1,
2026-05-12,NCLH,A,UP,UP,UP,AGREE UP,HOLD,33.15,60.0,2026-08-03,16.58,0.25,0.1,
2026-05-12,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-7.02,60.0,2026-08-03,9.5,0.3,0.1,SHORT DISABLED
2026-05-12,WK,A,UP,UP,UP,AGREE UP,BUY,74.65,60.0,2026-08-03,46.42,0.25,0.1,
2026-05-12,AAL,A,DOWN,UP,UP,MIXED,SKIP,2.31,60.0,2026-08-03,12.79,0.3,0.1,
2026-05-13,RIVN,A,UP,UP,UP,AGREE UP,BUY,11.07,40.0,2026-07-07,13.95,0.15,0.02,
2026-05-13,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-55.56,60.0,2026-08-04,4.07,0.25,0.02,SHORT DISABLED
2026-05-13,PATH,A,UP,UP,UP,AGREE UP,HOLD,43.75,60.0,2026-08-04,10.01,0.2,0.1,
2026-05-13,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-9.25,60.0,2026-08-04,218.54,0.15,0.1,SHORT DISABLED
2026-05-13,ITW,A,UP,UP,UP,AGREE UP,HOLD,3.45,60.0,2026-08-04,251.41,0.2,0.1,
2026-05-13,NCLH,A,UP,UP,UP,AGREE UP,HOLD,47.29,60.0,2026-08-04,16.0,0.25,0.1,
2026-05-13,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-15.23,60.0,2026-08-04,9.62,0.3,0.1,SHORT DISABLED
2026-05-13,WK,A,UP,UP,UP,AGREE UP,HOLD,58.22,60.0,2026-08-04,46.85,0.25,0.1,
2026-05-13,AAL,A,DOWN,UP,UP,MIXED,SKIP,-4.09,60.0,2026-08-04,12.69,0.3,0.1,
2026-05-15,RIVN,A,UP,DOWN,UP,MIXED,SKIP,13.52,40.0,2026-07-09,14.52,0.15,0.02,
2026-05-15,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-56.66,60.0,2026-08-06,4.61,0.25,0.02,SHORT DISABLED
2026-05-15,PATH,A,UP,UP,UP,AGREE UP,BUY,27.5,60.0,2026-08-06,9.67,0.2,0.1,
2026-05-15,HON,A,DOWN,UP,DOWN,MIXED,SKIP,-3.73,60.0,2026-08-06,217.72,0.15,0.1,
2026-05-15,ITW,A,UP,UP,DOWN,MIXED,SKIP,7.84,60.0,2026-08-06,250.77,0.2,0.1,
2026-05-15,NCLH,A,UP,UP,UP,AGREE UP,HOLD,44.71,60.0,2026-08-06,15.93,0.25,0.1,
2026-05-15,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-18.52,60.0,2026-08-06,9.35,0.3,0.1,SHORT DISABLED
2026-05-15,WK,A,UP,UP,UP,AGREE UP,HOLD,72.17,60.0,2026-08-06,45.39,0.25,0.1,
2026-05-15,AAL,A,UP,UP,UP,AGREE UP,HOLD,11.51,60.0,2026-08-06,12.7,0.3,0.1,
2026-05-18,RIVN,A,UP,UP,DOWN,MIXED,SKIP,8.0,40.0,2026-07-10,13.79,0.15,0.02,
2026-05-18,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-51.37,60.0,2026-08-07,4.39,0.25,0.02,SHORT DISABLED
2026-05-18,PATH,A,UP,UP,UP,AGREE UP,HOLD,20.26,60.0,2026-08-07,10.27,0.2,0.1,
2026-05-18,HON,A,DOWN,UP,DOWN,MIXED,SKIP,-1.62,60.0,2026-08-07,213.24,0.15,0.1,
2026-05-18,ITW,A,UP,UP,UP,AGREE UP,HOLD,7.76,60.0,2026-08-07,247.68,0.2,0.1,
2026-05-18,NCLH,A,UP,UP,UP,AGREE UP,BUY,38.11,60.0,2026-08-07,15.52,0.25,0.1,
2026-05-18,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-12.98,60.0,2026-08-07,9.06,0.3,0.1,SHORT DISABLED
2026-05-18,WK,A,UP,UP,UP,AGREE UP,HOLD,67.12,60.0,2026-08-07,47.4,0.25,0.1,
2026-05-18,AAL,A,UP,UP,UP,AGREE UP,HOLD,15.69,60.0,2026-08-07,12.31,0.3,0.1,
2026-05-19,RIVN,A,UP,UP,UP,AGREE UP,BUY,15.31,40.0,2026-07-13,13.35,0.15,0.02,
2026-05-19,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-58.54,60.0,2026-08-10,4.18,0.25,0.02,SHORT DISABLED
2026-05-19,PATH,A,UP,UP,UP,AGREE UP,HOLD,25.58,60.0,2026-08-10,10.64,0.2,0.1,
2026-05-19,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-5.83,60.0,2026-08-10,217.23,0.15,0.1,SHORT DISABLED
2026-05-19,ITW,A,UP,DOWN,UP,MIXED,SKIP,5.27,60.0,2026-08-10,249.46,0.2,0.1,
2026-05-19,NCLH,A,UP,UP,UP,AGREE UP,HOLD,46.11,60.0,2026-08-10,15.26,0.25,0.1,
2026-05-19,NVAX,A,UP,DOWN,DOWN,MIXED,SKIP,-3.03,60.0,2026-08-10,8.93,0.3,0.1,
2026-05-19,WK,A,UP,UP,UP,AGREE UP,HOLD,63.64,60.0,2026-08-10,49.81,0.25,0.1,
2026-05-19,AAL,A,UP,DOWN,UP,MIXED,SKIP,10.76,60.0,2026-08-10,12.36,0.3,0.1,
2026-05-20,RIVN,A,UP,UP,UP,AGREE UP,BUY,11.77,40.0,2026-07-14,12.9,0.15,0.02,
2026-05-20,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-44.61,60.0,2026-08-11,4.21,0.25,0.02,SHORT DISABLED
2026-05-20,PATH,A,UP,UP,UP,AGREE UP,HOLD,28.02,60.0,2026-08-11,10.55,0.2,0.1,
2026-05-20,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-6.09,60.0,2026-08-11,217.15,0.15,0.1,SHORT DISABLED
2026-05-20,ITW,A,UP,UP,UP,AGREE UP,HOLD,10.95,60.0,2026-08-11,247.37,0.2,0.1,
2026-05-20,NCLH,A,UP,UP,UP,AGREE UP,HOLD,45.9,60.0,2026-08-11,14.79,0.25,0.1,
2026-05-20,NVAX,A,DOWN,DOWN,UP,MIXED,SKIP,-8.4,60.0,2026-08-11,8.9,0.3,0.1,
2026-05-20,WK,A,UP,UP,UP,AGREE UP,HOLD,74.77,60.0,2026-08-11,49.69,0.25,0.1,
2026-05-20,AAL,A,UP,UP,UP,AGREE UP,HOLD,11.61,60.0,2026-08-11,12.06,0.3,0.1,
2026-05-21,RIVN,A,DOWN,DOWN,UP,MIXED,SKIP,2.25,40.0,2026-07-15,13.73,0.15,0.02,
2026-05-21,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-44.63,60.0,2026-08-12,4.24,0.25,0.02,SHORT DISABLED
2026-05-21,PATH,A,UP,UP,UP,AGREE UP,HOLD,31.34,60.0,2026-08-12,10.77,0.2,0.1,
2026-05-21,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-4.06,60.0,2026-08-12,217.39,0.15,0.1,SHORT DISABLED
2026-05-21,ITW,A,DOWN,UP,UP,MIXED,SKIP,0.81,60.0,2026-08-12,250.77,0.2,0.1,
2026-05-21,NCLH,A,UP,UP,UP,AGREE UP,HOLD,42.86,60.0,2026-08-12,16.03,0.25,0.1,
2026-05-21,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-9.8,60.0,2026-08-12,9.27,0.3,0.1,SHORT DISABLED
2026-05-21,WK,A,UP,UP,UP,AGREE UP,HOLD,63.14,60.0,2026-08-12,48.56,0.25,0.1,
2026-05-21,AAL,A,DOWN,DOWN,UP,MIXED,SKIP,-2.74,60.0,2026-08-12,12.95,0.3,0.1,
2026-05-22,RIVN,A,UP,UP,UP,AGREE UP,BUY,10.39,40.0,2026-07-16,14.15,0.15,0.02,
2026-05-22,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-58.22,60.0,2026-08-13,4.63,0.25,0.02,SHORT DISABLED
2026-05-22,PATH,A,UP,UP,UP,AGREE UP,HOLD,11.69,60.0,2026-08-13,10.57,0.2,0.1,
2026-05-22,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-4.54,60.0,2026-08-13,223.8,0.15,0.1,SHORT DISABLED
2026-05-22,ITW,A,UP,UP,UP,AGREE UP,HOLD,5.99,60.0,2026-08-13,249.93,0.2,0.1,
2026-05-22,NCLH,A,UP,UP,UP,AGREE UP,HOLD,41.54,60.0,2026-08-13,16.47,0.25,0.1,
2026-05-22,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-9.23,60.0,2026-08-13,8.98,0.3,0.1,SHORT DISABLED
2026-05-22,WK,A,UP,UP,UP,AGREE UP,HOLD,48.84,60.0,2026-08-13,50.02,0.25,0.1,
2026-05-22,AAL,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-7.64,60.0,2026-08-13,13.59,0.3,0.1,SHORT DISABLED
2026-05-26,RIVN,A,UP,UP,UP,AGREE UP,HOLD,4.63,40.0,2026-07-17,14.22,0.15,0.02,
2026-05-26,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-50.93,60.0,2026-08-14,4.81,0.25,0.02,SHORT DISABLED
2026-05-26,PATH,A,DOWN,UP,UP,MIXED,SKIP,4.37,60.0,2026-08-14,10.93,0.2,0.1,
2026-05-26,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-7.82,60.0,2026-08-14,227.92,0.15,0.1,SHORT DISABLED
2026-05-26,ITW,A,DOWN,DOWN,UP,MIXED,SKIP,1.14,60.0,2026-08-14,252.2,0.2,0.1,
2026-05-26,NCLH,A,UP,UP,UP,AGREE UP,HOLD,30.18,60.0,2026-08-14,16.3,0.25,0.1,
2026-05-26,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-9.36,60.0,2026-08-14,9.21,0.3,0.1,SHORT DISABLED
2026-05-26,WK,A,UP,UP,UP,AGREE UP,HOLD,53.73,60.0,2026-08-14,50.31,0.25,0.1,
2026-05-26,AAL,A,UP,DOWN,DOWN,MIXED,SKIP,-3.82,60.0,2026-08-14,13.85,0.3,0.1,
2026-05-27,RIVN,A,DOWN,UP,UP,MIXED,SKIP,9.54,40.0,2026-07-21,14.39,0.15,0.02,
2026-05-27,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-58.85,60.0,2026-08-18,5.13,0.25,0.02,SHORT DISABLED
2026-05-27,PATH,A,DOWN,UP,UP,MIXED,SKIP,10.88,60.0,2026-08-18,11.09,0.2,0.1,
2026-05-27,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-9.5,60.0,2026-08-18,231.72,0.15,0.1,SHORT DISABLED
2026-05-27,ITW,A,UP,UP,UP,AGREE UP,HOLD,4.62,60.0,2026-08-18,250.41,0.2,0.1,
2026-05-27,NCLH,A,UP,UP,UP,AGREE UP,HOLD,25.64,60.0,2026-08-18,17.1,0.25,0.1,
2026-05-27,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-25.95,60.0,2026-08-18,10.46,0.3,0.1,SHORT DISABLED
2026-05-27,WK,A,UP,UP,UP,AGREE UP,HOLD,55.89,60.0,2026-08-18,49.33,0.25,0.1,
2026-05-27,AAL,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-19.14,60.0,2026-08-18,14.85,0.3,0.1,SHORT DISABLED
2026-05-28,RIVN,A,DOWN,DOWN,UP,MIXED,SKIP,2.2,40.0,2026-07-22,14.7,0.15,0.02,
2026-05-28,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-45.27,60.0,2026-08-19,5.51,0.25,0.02,SHORT DISABLED
2026-05-28,PATH,A,UP,UP,UP,AGREE UP,HOLD,17.65,60.0,2026-08-19,11.16,0.2,0.1,
2026-05-28,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-9.4,60.0,2026-08-19,231.55,0.15,0.1,SHORT DISABLED
2026-05-28,ITW,A,UP,UP,UP,AGREE UP,HOLD,6.7,60.0,2026-08-19,250.29,0.2,0.1,
2026-05-28,NCLH,A,UP,UP,UP,AGREE UP,HOLD,23.79,60.0,2026-08-19,18.15,0.25,0.1,
2026-05-28,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-32.68,60.0,2026-08-19,11.09,0.3,0.1,SHORT DISABLED
2026-05-28,WK,A,UP,UP,UP,AGREE UP,HOLD,55.19,60.0,2026-08-19,47.51,0.25,0.1,
2026-05-28,AAL,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-17.48,60.0,2026-08-19,14.92,0.3,0.1,SHORT DISABLED
2026-05-29,RIVN,A,UP,DOWN,UP,MIXED,SKIP,2.0,40.0,2026-07-23,15.2,0.15,0.02,
2026-05-29,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-63.02,60.0,2026-08-20,5.61,0.25,0.02,SHORT DISABLED
2026-05-29,PATH,A,DOWN,UP,UP,MIXED,SKIP,1.1,60.0,2026-08-20,11.58,0.2,0.1,
2026-05-29,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-8.48,60.0,2026-08-20,233.0,0.15,0.1,SHORT DISABLED
2026-05-29,ITW,A,UP,UP,UP,AGREE UP,HOLD,5.28,60.0,2026-08-20,249.64,0.2,0.1,
2026-05-29,NCLH,A,UP,DOWN,UP,MIXED,SKIP,17.84,60.0,2026-08-20,18.28,0.25,0.1,
2026-05-29,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-14.89,60.0,2026-08-20,10.32,0.3,0.1,SHORT DISABLED
2026-05-29,WK,A,UP,UP,UP,AGREE UP,HOLD,63.65,60.0,2026-08-20,46.57,0.25,0.1,
2026-05-29,AAL,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-16.5,60.0,2026-08-20,14.65,0.3,0.1,SHORT DISABLED
2026-06-01,RIVN,A,UP,DOWN,UP,MIXED,SKIP,-3.29,40.0,2026-07-24,16.3,0.15,0.02,
2026-06-01,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-53.04,60.0,2026-08-21,5.68,0.25,0.02,SHORT DISABLED
2026-06-01,PATH,A,UP,UP,DOWN,MIXED,SKIP,2.62,60.0,2026-08-21,11.72,0.2,0.1,
2026-06-01,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-14.04,60.0,2026-08-21,237.86,0.15,0.1,SHORT DISABLED
2026-06-01,ITW,A,UP,UP,UP,AGREE UP,HOLD,6.68,60.0,2026-08-21,247.28,0.2,0.1,
2026-06-01,NCLH,A,UP,UP,UP,AGREE UP,HOLD,17.52,60.0,2026-08-21,18.34,0.25,0.1,
2026-06-01,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-22.48,60.0,2026-08-21,10.97,0.3,0.1,SHORT DISABLED
2026-06-01,WK,A,UP,UP,UP,AGREE UP,HOLD,52.47,60.0,2026-08-21,49.78,0.25,0.1,
2026-06-01,AAL,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-16.29,60.0,2026-08-21,14.64,0.3,0.1,SHORT DISABLED
2026-06-02,RIVN,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-16.92,40.0,2026-07-27,16.95,0.15,0.02,SHORT DISABLED
2026-06-02,BITF,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-56.01,60.0,2026-08-24,6.1,0.25,0.02,SHORT DISABLED
2026-06-02,PATH,A,DOWN,UP,DOWN,MIXED,SKIP,-4.23,60.0,2026-08-24,13.1,0.2,0.1,
2026-06-02,HON,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-11.37,60.0,2026-08-24,236.54,0.15,0.1,SHORT DISABLED
2026-06-02,ITW,A,UP,UP,UP,AGREE UP,HOLD,8.75,60.0,2026-08-24,245.81,0.2,0.1,
2026-06-02,NCLH,A,UP,UP,UP,AGREE UP,HOLD,23.69,60.0,2026-08-24,18.06,0.25,0.1,
2026-06-02,NVAX,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-22.53,60.0,2026-08-24,10.51,0.3,0.1,SHORT DISABLED
2026-06-02,WK,A,UP,UP,UP,AGREE UP,HOLD,35.75,60.0,2026-08-24,52.83,0.25,0.1,
2026-06-02,AAL,A,DOWN,DOWN,DOWN,AGREE DOWN,SKIP,-9.44,60.0,2026-08-24,14.34,0.3,0.1,SHORT DISABLED
